label,instance_id,n_frames,f0,f1
forget,2,53,-0.15,-0.13
question,2,64,-0.15,-0.14
wild,1,72,-0.09,-0.12
same,1,50,-0.14,0.02
hot,1,50,-0.15,-0.01
which,2,57,-0.15,-0.15
juice,2,56,-0.1,-0.08
Norway,1,56,-0.15,0.04
please,1,65,-0.12,0.01
hot,2,53,-0.14,-0.14
stubborn,2,48,-0.14,0.15
crazy,3,53,-0.11,-0.13
Norway,3,56,-0.1,-0.13
danger,2,55,-0.15,-0.13
share,2,54,-0.1,-0.13
crazy,1,57,-0.19,0.04
spend,2,75,-0.12,-0.1
glove,2,76,-0.16,-0.13
stubborn,3,57,-0.13,-0.15
read,3,58,-0.1,-0.09
spend,1,54,-0.1,-0.01
write,1,72,-0.16,0.03
more,3,50,-0.1,-0.15
research,3,61,-0.12,-0.01
buy,1,58,-0.15,0.03
tray,1,62,-0.09,0.14
is_true_,1,74,-0.08,0.02
answer,3,53,-0.15,-0.03
later,1,51,-0.04,0.04
mine,3,46,-0.11,-0.14
paper,2,52,-0.16,-0.09
ready,3,51,-0.15,-0.1
computer_PC_,3,56,-0.07,0.08
how,1,77,-0.15,0.03
surprise,3,55,-0.08,-0.14
drink,2,51,-0.14,-0.15
responsible,2,57,-0.14,-0.14
question,3,51,-0.12,-0.09
later,3,53,-0.04,-0.02
think,2,51,-0.15,-0.14
head,2,51,-0.11,-0.13
make,1,59,-0.1,0.03
how,3,50,-0.09,-0.13
polite,2,56,-0.11,-0.13
temper,2,52,-0.14,0.04
I,2,53,-0.14,-0.14
surprise,2,53,-0.16,-0.15
boy,1,53,-0.16,0.02
no,2,52,-0.13,-0.15
change_mind_,3,53,-0.09,-0.13
flash,light,53,0.09,-0.08
which,3,51,-0.09,-0.13
yes,3,50,-0.1,-0.14
alive,3,53,-0.11,-0.14
all,3,55,-0.11,-0.13
answer,2,56,-0.11,0.01
who,1,55,-0.16,-0.01
deaf,3,56,-0.12,-0.13
hear,1,51,-0.14,-0.02
eat,3,49,-0.1,-0.13
will,2,52,-0.11,-0.14
research,2,55,-0.1,-0.05
draw,1,75,-0.16,0.02
think,3,51,-0.1,-0.14
us,3,55,-0.11,-0.13
right,3,50,-0.1,-0.15
same,3,48,-0.1,0.05
ready,2,53,-0.14,-0.15
draw,2,52,-0.09,-0.02
love,2,57,-0.14,-0.14
pen,2,49,-0.16,-0.14
pen,3,50,-0.1,-0.13
danger,1,84,-0.21,-0.02
lose,2,59,-0.08,-0.05
cost,2,48,-0.15,-0.02
come,2,50,-0.13,-0.13
not,my,69,-0.21,-0.02
man,1,52,-0.1,-0.12
sorry,2,80,-0.12,-0.13
give,3,54,-0.06,-0.08
happy,1,54,-0.21,0.02
drink,1,57,-0.13,-0.01
wrong,1,51,-0.14,-0.01
right,1,51,-0.15,0.01
buy,2,48,-0.04,-0.02
polite,3,65,-0.1,-0.13
exit,3,51,-0.09,0.08
flash,light,57,-0.09,-0.09
maybe,2,52,-0.1,-0.13
computer_PC_,2,55,-0.06,0.1
Norway,2,56,-0.13,-0.13
how,2,64,-0.09,-0.1
think,1,50,-0.13,0.03
why,1,53,-0.13,0.03
God,2,55,-0.11,-0.13
God,3,56,-0.06,-0.08
yes,1,51,-0.15,-0.0
temper,1,55,-0.11,0.27
give,2,54,-0.11,-0.13
stubborn,1,53,-0.11,-0.0
tray,3,60,-0.1,-0.04
love,3,52,-0.05,-0.08
when,2,58,-0.11,-0.13
temper,3,52,-0.11,0.08
science,1,81,-0.16,0.04
building,3,66,-0.11,-0.11
sorry,1,71,-0.1,-0.11
is_true_,2,52,-0.05,-0.02
zero,2,54,-0.11,-0.13
answer,1,62,-0.1,0.03
different,1,58,-0.15,0.04
us,2,64,-0.13,-0.14
man,3,53,-0.09,-0.14
name,1,69,-0.14,-0.03
danger,3,54,-0.07,-0.14
soon,2,53,-0.12,-0.15
write,2,58,-0.09,-0.08
share,3,57,0.02,-0.03
cost,3,49,-0.16,-0.1
ready,1,54,-0.18,0.03
shop,2,54,-0.09,-0.02
thank,2,51,-0.14,-0.13
same,2,50,-0.15,-0.06
wait_notyet_,2,54,-0.15,0.04
hello,2,50,-0.14,-0.14
know,3,54,-0.12,-0.14
responsible,3,50,-0.11,0.19
go,1,52,-0.09,-0.04
yes,2,49,-0.15,-0.14
wait_notyet_,3,57,-0.15,-0.14
juice,3,55,-0.09,-0.14
deaf,1,62,-0.14,0.02
which,1,54,-0.15,0.04
take,2,47,-0.09,-0.15
is_true_,3,50,-0.04,-0.05
girl,2,51,-0.1,-0.14
love,1,89,-0.16,0.0
name,2,51,-0.12,-0.13
her,1,52,-0.09,-0.12
give,1,52,-0.13,-0.01
forget,3,52,-0.11,-0.15
thank,3,68,-0.11,-0.12
forget,1,54,-0.17,0.03
joke,2,55,-0.15,-0.13
read,1,96,-0.17,0.03
boy,2,51,-0.13,-0.13
zero,3,61,-0.11,-0.14
wild,2,54,-0.11,-0.13
cold,2,56,-0.15,0.01
science,2,66,-0.15,-0.1
wait_notyet_,1,91,-0.15,0.03
come,1,52,-0.11,-0.12
hello,3,47,-0.11,-0.14
why,2,49,-0.15,-0.14
why,3,52,-0.1,-0.14
zero,1,51,-0.12,0.02
hear,2,54,-0.13,-0.14
happy,3,54,-0.1,-0.13
please,2,56,-0.11,-0.15
glove,3,54,-0.1,-0.05
where,2,55,-0.14,-0.13
joke,1,51,-0.1,-0.12
maybe,3,48,-0.09,-0.14
later,2,60,-0.1,-0.14
cold,3,53,-0.22,0.02
name,3,50,-0.08,-0.13
money,2,55,-0.15,-0.11
mine,2,47,-0.11,-0.13
you,1,48,-0.13,0.01
hello,1,62,-0.1,-0.11
flash,light,58,-0.09,-0.14
responsible,1,63,-0.12,0.2
change_mind_,1,54,-0.08,-0.1
her,3,46,-0.1,-0.13
more,1,48,-0.13,-0.03
take,3,47,-0.1,-0.13
come,3,48,-0.11,-0.13
go,2,53,-0.07,0.03
God,1,90,-0.06,0.03
write,3,61,-0.1,-0.14
hurt,3,53,-0.07,-0.15
juice,1,74,-0.13,0.03
head,3,49,-0.11,-0.13
change_mind_,2,56,-0.16,-0.14
sorry,3,55,-0.1,-0.15
joke,3,50,-0.13,-0.14
head,1,66,-0.15,0.03
will,1,60,-0.16,-0.01
buy,3,50,-0.1,-0.04
who,2,50,-0.1,-0.13
tray,2,49,-0.04,0.14
no,1,48,-0.1,-0.11
money,1,49,-0.09,-0.03
when,3,54,-0.09,-0.13
pen,1,60,-0.09,-0.11
all,2,60,-0.16,-0.15
different,3,57,-0.13,-0.14
innocent,2,53,-0.15,-0.14
will,3,54,-0.09,-0.14
computer_PC_,1,81,-0.04,0.14
hurry,1,67,-0.16,0.01
make,3,50,-0.11,-0.02
you,3,48,-0.07,-0.14
hurt,1,88,-0.17,0.03
where,3,53,-0.26,-0.03
what,2,48,-0.11,-0.14
alive,2,54,-0.15,-0.15
innocent,3,54,-0.12,-0.15
girl,3,51,-0.07,-0.15
all,1,55,-0.09,-0.12
read,2,71,-0.11,-0.15
right,2,52,-0.15,-0.14
shop,1,50,-0.15,0.03
paper,1,61,-0.1,0.06
lose,3,51,0.02,0.03
wrong,3,53,-0.09,-0.15
voluntary,2,55,-0.09,-0.13
what,1,60,-0.16,0.03
wrong,2,48,-0.09,-0.14
money,3,51,-0.06,-0.08
research,1,60,-0.09,0.15
wild,3,54,-0.09,-0.13
polite,1,56,-0.11,-0.11
hot,3,49,-0.1,-0.15
know,1,51,-0.15,0.02
when,1,49,-0.13,0.03
sad,2,54,-0.13,-0.13
you,2,51,-0.14,-0.13
surprise,1,60,-0.15,0.01
not,my,64,-0.1,0.02
voluntary,3,57,-0.12,-0.14
alive,1,50,-0.1,-0.13
hurry,2,59,-0.14,-0.13
building,2,79,-0.03,-0.06
exit,1,52,-0.08,0.07
I,1,51,-0.13,0.03
mine,1,51,-0.16,0.01
science,3,58,-0.09,-0.14
question,1,86,-0.1,0.09
girl,1,57,-0.09,-0.11
soon,3,54,-0.1,-0.13
eat,1,74,-0.13,-0.02
cost,1,64,-0.15,0.09
innocent,1,85,-0.12,-0.02
eat,2,56,-0.1,-0.14
sad,1,76,-0.12,0.02
us,1,84,-0.14,0.02
no,3,62,-0.13,-0.14
what,3,50,-0.07,-0.14
I,3,47,-0.1,-0.12
voluntary,1,65,-0.12,-0.02
where,1,92,-0.18,0.03
lose,1,57,-0.1,0.07
cold,1,80,-0.15,0.09
hurt,2,58,-0.16,-0.15
paper,3,51,-0.09,-0.04
her,2,55,-0.12,-0.13
happy,2,50,-0.09,-0.09
thank,1,48,-0.1,-0.12
hurry,3,48,-0.07,-0.02
go,3,53,-0.04,-0.0
please,3,52,-0.11,-0.15
more,2,49,-0.15,-0.13
maybe,1,66,-0.13,0.02
sad,3,50,-0.09,-0.14
boy,3,55,-0.1,-0.14
share,1,66,-0.12,0.03
who,3,51,-0.09,-0.13
crazy,2,62,-0.11,-0.14
man,2,48,-0.13,-0.15
know,2,50,-0.16,-0.18
drink,3,52,-0.09,-0.14
soon,1,74,-0.11,-0.12
different,2,55,-0.12,-0.08
draw,3,55,-0.1,-0.08
shop,3,50,-0.09,-0.06
exit,2,58,-0.14,0.01
hear,3,48,-0.07,-0.13
building,1,77,-0.11,0.03
not,my,51,-0.16,-0.0
make,2,49,-0.08,-0.03
take,1,53,-0.13,0.0
deaf,2,49,-0.11,-0.14
glove,1,75,-0.05,-0.02
spend,3,57,-0.04,-0.07
forget,2,55,-0.07,-0.07
question,2,52,0.02,0.09
wild,1,57,-0.05,-0.08
same,1,51,-0.02,-0.01
hot,1,52,-0.07,-0.08
which,2,53,-0.04,-0.08
juice,2,60,-0.05,0.0
Norway,1,58,-0.04,-0.09
please,1,52,-0.06,-0.08
hot,2,50,-0.07,-0.08
stubborn,2,56,-0.07,0.05
crazy,3,55,-0.02,-0.07
Norway,3,52,-0.05,-0.07
danger,2,53,-0.02,-0.09
share,2,59,-0.02,-0.02
crazy,1,52,-0.05,-0.07
spend,2,68,-0.04,-0.01
glove,2,54,-0.07,0.02
stubborn,3,50,-0.05,-0.03
read,3,69,-0.07,-0.01
spend,1,57,-0.05,0.02
write,1,63,-0.07,0.04
more,3,49,-0.02,-0.07
research,3,59,-0.04,-0.04
buy,1,53,-0.1,0.02
tray,1,60,-0.07,0.09
is_true_,1,50,-0.03,-0.03
answer,3,51,0.02,0.1
later,1,50,-0.02,0.04
mine,3,45,-0.01,-0.09
paper,2,51,-0.09,0.08
ready,3,54,-0.07,0.13
computer_PC_,3,58,-0.01,0.15
how,1,47,-0.02,-0.01
surprise,3,52,-0.05,-0.07
drink,2,50,-0.01,-0.08
responsible,2,56,-0.06,0.25
question,3,50,-0.02,0.08
later,3,53,0.01,0.09
think,2,53,-0.01,-0.07
head,2,49,-0.07,-0.09
make,1,51,-0.03,0.03
how,3,53,-0.0,0.03
polite,2,52,-0.03,-0.09
temper,2,62,-0.06,0.35
I,2,52,-0.05,-0.09
surprise,2,51,-0.02,-0.08
boy,1,51,-0.07,-0.07
no,2,64,-0.02,-0.08
his_hers,2,50,-0.01,-0.09
change_mind_,3,57,-0.04,-0.07
flash,light,87,-0.02,-0.09
which,3,53,-0.02,-0.09
yes,3,53,-0.05,-0.07
alive,3,56,-0.08,-0.07
all,3,54,-0.03,-0.09
answer,2,56,-0.02,0.04
who,1,53,-0.08,-0.08
deaf,3,52,-0.02,-0.07
hear,1,59,-0.07,-0.07
eat,3,62,-0.0,-0.09
will,2,53,-0.01,-0.08
research,2,57,-0.01,0.12
draw,1,50,-0.07,0.03
think,3,49,-0.03,-0.09
us,3,52,-0.02,-0.08
right,3,48,-0.02,-0.08
same,3,51,-0.07,0.05
ready,2,52,-0.07,0.06
draw,2,55,-0.09,-0.01
love,2,53,0.2,0.29
pen,2,53,-0.03,-0.07
pen,3,50,-0.02,-0.08
danger,1,51,-0.02,-0.07
lose,2,54,-0.09,0.01
cost,2,50,-0.07,0.02
come,2,48,-0.01,-0.07
not,my,47,-0.07,0.16
man,1,49,-0.06,-0.08
sorry,2,53,-0.06,-0.08
give,3,52,-0.02,-0.01
happy,1,60,-0.07,0.02
drink,1,54,-0.05,-0.09
wrong,1,53,-0.03,-0.07
right,1,48,-0.03,-0.09
buy,2,49,-0.06,0.08
polite,3,51,-0.03,-0.08
exit,3,56,-0.05,0.1
flash,light,57,-0.04,-0.06
maybe,2,50,-0.02,-0.09
computer_PC_,2,53,0.03,0.2
Norway,2,54,-0.04,-0.08
how,2,56,-0.06,-0.02
think,1,52,-0.04,-0.07
why,1,50,-0.06,-0.08
God,2,51,0.04,0.03
God,3,58,-0.05,-0.05
yes,1,49,-0.0,-0.07
temper,1,63,-0.07,0.14
give,2,58,-0.09,-0.03
stubborn,1,50,-0.06,-0.08
tray,3,59,-0.01,0.06
love,3,59,0.11,0.26
when,2,54,-0.02,-0.07
temper,3,53,-0.05,0.29
science,1,62,-0.08,-0.08
building,3,64,0.05,0.08
sorry,1,54,-0.06,-0.08
is_true_,2,63,-0.1,-0.06
zero,2,53,-0.03,-0.08
answer,1,47,-0.02,0.12
different,1,52,0.02,0.04
us,2,52,-0.06,-0.07
man,3,48,-0.01,-0.09
name,1,53,-0.04,-0.08
danger,3,51,-0.01,-0.09
soon,2,54,-0.07,-0.09
write,2,58,-0.06,0.04
share,3,58,-0.04,-0.02
cost,3,59,-0.07,0.02
ready,1,73,-0.08,-0.03
shop,2,58,-0.02,-0.04
thank,2,49,-0.01,-0.08
same,2,53,-0.07,0.07
wait_notyet_,2,57,-0.06,0.09
hello,2,48,-0.05,-0.07
know,3,52,-0.02,-0.07
responsible,3,52,-0.1,0.21
go,1,49,-0.02,0.01
yes,2,78,-0.0,-0.08
wait_notyet_,3,55,-0.07,0.2
juice,3,64,-0.07,-0.0
deaf,1,53,-0.04,-0.08
which,1,55,-0.02,-0.07
take,2,52,-0.06,-0.08
is_true_,3,54,-0.02,-0.02
girl,2,55,-0.02,-0.08
love,1,63,0.05,0.19
name,2,51,-0.0,-0.07
give,1,53,-0.05,0.03
forget,3,52,-0.01,-0.09
thank,3,58,-0.01,-0.07
forget,1,53,-0.05,-0.09
joke,2,55,-0.06,-0.09
read,1,61,-0.08,-0.02
boy,2,52,-0.06,-0.09
zero,3,54,-0.02,-0.09
wild,2,56,-0.0,-0.07
cold,2,53,-0.15,0.13
science,2,57,-0.08,-0.03
wait_notyet_,1,51,-0.04,0.17
come,1,47,-0.05,-0.08
hello,3,48,-0.0,-0.07
why,2,49,-0.03,-0.07
why,3,57,-0.06,-0.07
zero,1,50,-0.08,-0.07
hear,2,51,-0.05,-0.09
happy,3,58,0.0,0.07
please,2,51,-0.06,-0.08
glove,3,55,-0.07,0.01
where,2,56,-0.12,-0.03
joke,1,70,-0.08,-0.08
maybe,3,49,-0.05,-0.09
later,2,77,-0.03,-0.01
cold,3,52,-0.13,0.03
name,3,52,-0.05,-0.07
money,2,50,-0.07,-0.02
mine,2,48,-0.07,-0.08
you,1,48,-0.02,-0.08
hello,1,47,-0.08,-0.07
flash,light,54,0.11,0.04
responsible,1,58,-0.07,0.01
change_mind_,1,53,-0.08,-0.09
more,1,54,-0.03,-0.08
take,3,52,-0.01,-0.07
come,3,50,-0.07,-0.07
go,2,59,-0.01,0.15
God,1,54,-0.03,-0.03
write,3,61,-0.09,-0.02
hurt,3,52,-0.01,-0.09
juice,1,58,-0.07,-0.03
head,3,54,-0.01,-0.07
change_mind_,2,64,-0.01,-0.09
sorry,3,51,-0.0,-0.08
joke,3,61,-0.01,-0.08
head,1,54,-0.0,-0.08
will,1,56,-0.01,-0.08
buy,3,50,-0.1,0.09
who,2,49,-0.06,-0.08
tray,2,61,-0.06,0.02
no,1,50,-0.04,-0.08
money,1,49,-0.07,-0.03
when,3,52,-0.06,-0.09
pen,1,52,-0.02,-0.08
all,2,52,-0.02,-0.09
different,3,49,0.05,0.09
innocent,2,55,-0.08,-0.07
will,3,51,-0.01,-0.08
computer_PC_,1,56,-0.02,0.13
hurry,1,54,-0.03,-0.03
make,3,51,0.03,0.07
his_hers,1,51,-0.08,-0.07
you,3,48,-0.03,-0.08
hurt,1,55,-0.05,-0.08
where,3,55,-0.12,0.01
what,2,52,-0.06,-0.07
alive,2,51,-0.02,-0.09
innocent,3,71,-0.07,-0.07
girl,3,53,-0.02,-0.07
all,1,57,-0.04,-0.08
read,2,56,-0.07,0.03
right,2,52,-0.07,-0.08
shop,1,51,-0.06,0.03
paper,1,53,-0.05,0.12
lose,3,49,0.1,0.15
wrong,3,50,-0.04,-0.08
voluntary,2,56,-0.0,-0.07
what,1,51,-0.02,-0.08
wrong,2,51,-0.08,-0.08
money,3,57,-0.09,-0.02
research,1,80,0.02,0.1
wild,3,54,-0.03,-0.07
polite,1,52,-0.02,-0.08
hot,3,51,-0.07,-0.07
know,1,58,-0.06,-0.07
when,1,53,-0.07,-0.08
sad,2,52,-0.02,-0.08
you,2,50,-0.06,-0.08
surprise,1,50,-0.05,-0.07
not,my,66,-0.01,0.21
voluntary,3,54,-0.05,-0.08
alive,1,59,-0.04,-0.08
hurry,2,54,-0.03,0.04
building,2,66,0.06,0.14
exit,1,56,-0.06,-0.0
I,1,50,-0.05,-0.07
mine,1,53,-0.04,-0.07
science,3,58,-0.04,-0.08
question,1,54,-0.02,0.06
girl,1,56,-0.07,-0.07
soon,3,55,-0.02,-0.09
eat,1,50,-0.03,-0.08
cost,1,81,-0.09,-0.02
innocent,1,50,-0.08,-0.07
eat,2,51,-0.08,-0.07
sad,1,56,-0.04,-0.08
us,1,51,-0.07,-0.07
no,3,49,-0.05,-0.07
what,3,52,-0.04,-0.09
his_hers,3,48,-0.02,-0.07
I,3,52,-0.02,-0.07
voluntary,1,57,-0.04,-0.07
where,1,54,-0.13,0.03
lose,1,54,0.02,0.1
cold,1,53,-0.12,-0.03
hurt,2,56,-0.06,-0.08
paper,3,51,-0.02,0.14
happy,2,52,-0.07,-0.02
thank,1,51,-0.05,-0.08
hurry,3,49,-0.01,0.05
go,3,54,0.1,0.09
please,3,50,-0.01,-0.07
more,2,55,-0.01,-0.08
maybe,1,49,-0.06,-0.08
sad,3,53,-0.01,-0.08
boy,3,56,-0.01,-0.08
share,1,58,0.03,0.03
who,3,55,-0.0,-0.07
crazy,2,55,-0.03,-0.09
man,2,55,-0.03,-0.08
know,2,53,-0.03,-0.09
drink,3,54,-0.03,-0.07
soon,1,55,-0.05,-0.08
different,2,76,-0.02,-0.03
draw,3,52,-0.07,0.1
shop,3,57,-0.08,-0.07
exit,2,52,-0.07,0.1
hear,3,51,-0.0,-0.07
building,1,68,0.04,0.07
not,my,50,-0.12,0.13
make,2,53,-0.07,-0.02
take,1,49,-0.07,-0.06
deaf,2,72,-0.03,-0.07
glove,1,55,-0.09,-0.02
spend,3,53,-0.03,-0.02
forget,2,58,-0.03,-0.08
question,2,57,-0.01,0.04
wild,1,60,-0.03,-0.08
same,1,55,-0.03,-0.02
hot,1,53,-0.03,-0.07
which,2,58,-0.03,-0.07
juice,2,59,-0.09,-0.01
Norway,1,57,-0.02,-0.05
please,1,52,0.02,-0.06
hot,2,56,-0.01,-0.08
stubborn,2,57,-0.05,0.08
crazy,3,54,-0.03,-0.08
Norway,3,59,-0.04,-0.08
danger,2,54,-0.02,-0.08
share,2,61,-0.01,-0.02
crazy,1,53,-0.03,-0.05
spend,2,56,-0.08,-0.02
glove,2,56,-0.08,-0.01
stubborn,3,53,-0.03,0.14
read,3,69,-0.07,-0.01
spend,1,60,-0.06,-0.01
write,1,55,-0.11,-0.01
more,3,56,-0.01,-0.06
research,3,62,-0.0,0.07
buy,1,54,-0.07,0.03
tray,1,59,-0.01,0.03
is_true_,1,56,-0.02,-0.02
answer,3,55,0.01,0.05
later,1,58,0.01,-0.02
mine,3,72,-0.03,-0.07
paper,2,52,-0.02,0.05
ready,3,52,-0.1,-0.05
computer_PC_,3,60,-0.02,0.04
how,1,54,-0.03,-0.08
surprise,3,52,-0.02,-0.06
drink,2,55,-0.01,-0.07
responsible,2,62,-0.02,-0.08
question,3,58,-0.02,0.04
later,3,55,-0.01,0.04
think,2,52,-0.03,-0.07
head,2,58,-0.03,-0.06
make,1,52,-0.03,-0.02
how,3,51,-0.08,-0.05
polite,2,62,-0.02,-0.06
temper,2,55,-0.08,0.08
I,2,51,-0.02,-0.06
surprise,2,55,-0.02,-0.07
boy,1,54,-0.02,-0.07
no,2,56,-0.02,-0.07
his_hers,2,53,-0.02,-0.07
change_mind_,3,57,-0.01,-0.07
flash,light,56,0.1,-0.01
which,3,52,-0.03,-0.07
yes,3,55,-0.03,-0.06
alive,3,66,-0.02,-0.08
all,3,61,-0.03,-0.07
answer,2,53,-0.01,0.09
who,1,54,-0.03,-0.08
deaf,3,56,-0.02,-0.08
hear,1,56,-0.02,-0.08
eat,3,51,-0.01,-0.07
will,2,58,-0.03,-0.07
research,2,54,-0.02,0.1
draw,1,51,-0.11,-0.01
think,3,52,-0.02,-0.07
us,3,54,-0.01,-0.06
right,3,50,-0.01,-0.07
same,3,53,0.02,0.08
ready,2,58,-0.12,-0.01
draw,2,57,-0.08,-0.02
love,2,57,0.09,0.16
pen,2,52,-0.02,-0.07
pen,3,55,-0.02,-0.07
danger,1,57,-0.03,-0.05
lose,2,52,-0.06,0.04
cost,2,56,-0.09,-0.03
