label,instance_id,n_frames,f0,f1
wrong,3,58,-0.04,-0.18
voluntary,2,62,-0.07,-0.17
what,1,56,-0.07,-0.17
wrong,2,69,-0.06,-0.17
money,3,58,-0.12,-0.07
research,1,63,-0.06,-0.12
wild,3,70,-0.02,-0.14
polite,1,55,-0.02,-0.17
hot,3,59,-0.06,-0.17
know,1,52,-0.07,-0.18
when,1,62,-0.04,-0.18
sad,2,58,-0.06,-0.17
you,2,55,-0.07,-0.17
surprise,1,54,-0.04,-0.17
not,my,54,-0.05,-0.1
voluntary,3,74,-0.04,-0.18
alive,1,56,-0.03,-0.15
hurry,2,55,-0.06,-0.11
building,2,68,-0.02,-0.08
exit,1,58,-0.04,-0.15
I,1,55,-0.01,-0.16
mine,1,53,-0.03,-0.16
science,3,62,-0.04,-0.16
question,1,59,-0.03,-0.13
girl,1,54,-0.05,-0.16
soon,3,57,-0.03,-0.17
eat,1,53,-0.07,-0.16
cost,1,55,-0.07,-0.11
innocent,1,63,-0.04,-0.16
eat,2,59,-0.04,-0.16
sad,1,62,-0.03,-0.17
us,1,54,-0.03,-0.17
no,3,52,-0.02,-0.14
what,3,53,-0.05,-0.18
his_hers,3,60,-0.05,-0.17
I,3,53,-0.07,-0.17
voluntary,1,59,-0.05,-0.17
where,1,64,-0.15,-0.09
lose,1,55,-0.12,-0.11
cold,1,54,-0.07,-0.12
hurt,2,62,-0.05,-0.17
paper,3,58,-0.03,-0.11
happy,2,57,-0.06,-0.11
thank,1,51,-0.06,-0.16
hurry,3,136,-0.01,-0.07
go,3,57,-0.04,-0.17
please,3,56,-0.03,-0.16
more,2,53,-0.05,-0.18
maybe,1,53,-0.03,-0.16
sad,3,55,-0.04,-0.16
boy,3,56,-0.0,-0.13
share,1,65,-0.06,-0.12
who,3,57,0.0,-0.13
crazy,2,65,-0.04,-0.14
man,2,66,-0.07,-0.16
know,2,58,-0.02,-0.17
drink,3,57,-0.02,-0.14
soon,1,55,-0.04,-0.16
different,2,56,-0.07,-0.15
draw,3,61,-0.12,-0.06
shop,3,58,-0.06,-0.14
exit,2,56,-0.03,-0.12
hear,3,55,0.0,-0.12
building,1,82,-0.03,-0.14
not,my,61,-0.11,-0.1
make,2,61,-0.03,-0.16
take,1,84,-0.04,-0.17
deaf,2,63,-0.05,-0.17
glove,1,70,-0.08,-0.11
spend,3,59,-0.09,-0.1
forget,2,64,-0.07,-0.18
question,2,54,-0.07,-0.06
wild,1,59,-0.09,-0.16
same,1,51,-0.12,-0.11
hot,1,50,-0.07,-0.17
which,2,57,-0.08,-0.17
juice,2,56,-0.13,-0.14
Norway,1,78,-0.07,-0.17
please,1,58,-0.08,-0.17
hot,2,54,-0.07,-0.16
stubborn,2,51,-0.07,-0.13
crazy,3,59,-0.07,-0.17
Norway,3,59,-0.09,-0.16
danger,2,55,-0.06,-0.18
share,2,59,-0.06,-0.12
crazy,1,58,-0.08,-0.17
spend,2,61,-0.13,-0.11
glove,2,59,-0.06,-0.16
stubborn,3,67,-0.12,0.04
read,3,56,-0.15,-0.06
spend,1,70,-0.11,-0.12
write,1,85,-0.15,-0.06
more,3,50,-0.06,-0.17
research,3,55,-0.03,-0.04
buy,1,68,-0.07,-0.14
tray,1,63,-0.05,-0.11
is_true_,1,58,-0.07,-0.16
answer,3,55,-0.06,0.0
later,1,61,-0.05,-0.1
mine,3,57,-0.08,-0.17
paper,2,56,-0.13,-0.09
ready,3,54,-0.17,-0.07
computer_PC_,3,57,-0.07,-0.01
how,1,52,-0.11,-0.12
surprise,3,51,-0.06,-0.16
drink,2,52,-0.07,-0.18
responsible,2,65,-0.12,0.02
question,3,54,-0.02,-0.01
later,3,89,-0.06,-0.11
think,2,57,-0.07,-0.16
head,2,50,-0.07,-0.17
make,1,58,-0.07,-0.09
how,3,51,-0.02,-0.12
polite,2,57,-0.06,-0.17
temper,2,58,-0.09,-0.01
I,2,50,-0.07,-0.16
surprise,2,53,-0.06,-0.16
boy,1,53,-0.06,-0.17
no,2,50,-0.07,-0.18
his_hers,2,49,-0.06,-0.18
change_mind_,3,57,-0.06,-0.16
flash,light,75,-0.03,-0.11
which,3,58,-0.08,-0.16
yes,3,50,-0.06,-0.18
alive,3,60,-0.09,-0.17
all,3,55,-0.07,-0.16
answer,2,54,-0.07,-0.09
who,1,56,-0.08,-0.17
deaf,3,52,-0.07,-0.17
hear,1,59,-0.08,-0.16
eat,3,51,-0.07,-0.17
will,2,57,-0.08,-0.18
research,2,65,-0.07,-0.1
draw,1,60,-0.18,-0.06
think,3,53,-0.06,-0.16
us,3,55,-0.08,-0.18
right,3,53,-0.04,-0.18
same,3,51,-0.03,-0.05
ready,2,65,-0.17,-0.08
draw,2,58,-0.18,-0.09
love,2,56,-0.08,-0.15
pen,2,56,-0.07,-0.17
pen,3,63,-0.06,-0.17
danger,1,54,-0.08,-0.17
lose,2,79,-0.06,-0.06
cost,2,73,-0.16,-0.01
come,2,51,-0.06,-0.18
not,my,51,-0.15,-0.04
man,1,49,-0.08,-0.16
sorry,2,59,-0.07,-0.17
give,3,53,-0.12,-0.08
happy,1,65,-0.13,-0.11
drink,1,53,-0.06,-0.16
wrong,1,55,-0.07,-0.16
right,1,49,-0.08,-0.15
buy,2,59,-0.13,-0.16
polite,3,57,-0.06,-0.17
exit,3,55,-0.07,-0.17
flash,light,59,-0.06,-0.16
maybe,2,56,-0.06,-0.17
computer_PC_,2,60,-0.07,-0.02
Norway,2,59,-0.07,-0.17
how,2,65,-0.09,-0.14
think,1,56,-0.07,-0.18
why,1,58,-0.08,-0.17
God,2,62,-0.07,-0.15
God,3,53,-0.04,-0.07
yes,1,79,-0.08,-0.16
temper,1,55,-0.15,0.05
give,2,76,-0.08,-0.16
stubborn,1,51,-0.07,-0.08
tray,3,59,0.04,-0.01
love,3,56,-0.08,-0.14
when,2,61,-0.08,-0.18
temper,3,59,-0.09,-0.02
science,1,62,-0.07,-0.18
building,3,67,-0.07,-0.07
sorry,1,56,-0.08,-0.18
is_true_,2,60,-0.09,-0.15
zero,2,53,-0.06,-0.18
answer,1,57,-0.07,-0.07
different,1,51,0.0,-0.09
us,2,54,-0.08,-0.17
man,3,52,-0.07,-0.18
name,1,53,-0.07,-0.17
danger,3,74,-0.08,-0.18
soon,2,55,-0.06,-0.16
write,2,63,-0.15,-0.05
share,3,64,-0.06,-0.12
cost,3,53,-0.17,-0.05
ready,1,54,-0.19,-0.12
shop,2,67,-0.13,-0.11
thank,2,49,-0.06,-0.17
same,2,76,-0.07,-0.08
wait_notyet_,2,57,-0.08,-0.06
hello,2,49,-0.06,-0.16
know,3,52,-0.08,-0.16
responsible,3,53,-0.09,0.03
go,1,54,-0.07,-0.03
yes,2,62,-0.07,-0.17
wait_notyet_,3,53,-0.13,0.01
juice,3,64,-0.12,-0.11
deaf,1,54,-0.08,-0.17
which,1,57,-0.12,-0.17
take,2,53,-0.11,-0.16
is_true_,3,54,-0.07,-0.11
girl,2,68,-0.07,-0.17
love,1,84,-0.05,-0.02
name,2,54,-0.07,-0.17
give,1,55,-0.12,-0.05
forget,3,52,-0.07,-0.16
thank,3,54,-0.08,-0.18
forget,1,55,-0.06,-0.17
joke,2,56,-0.08,-0.18
read,1,62,-0.09,-0.12
boy,2,58,-0.07,-0.16
zero,3,51,-0.07,-0.16
wild,2,57,-0.08,-0.16
cold,2,57,-0.1,-0.07
science,2,62,-0.09,-0.16
wait_notyet_,1,54,-0.18,0.04
come,1,49,-0.07,-0.18
hello,3,51,-0.07,-0.17
why,2,58,-0.07,-0.16
why,3,57,-0.07,-0.16
zero,1,51,-0.09,-0.17
hear,2,55,-0.08,-0.16
happy,3,57,-0.14,-0.11
please,2,56,-0.08,-0.16
glove,3,67,-0.15,-0.11
where,2,57,-0.2,-0.09
joke,1,57,-0.1,-0.17
maybe,3,51,-0.08,-0.17
later,2,58,-0.09,-0.15
cold,3,53,-0.17,0.0
name,3,52,-0.06,-0.16
money,2,52,-0.14,-0.11
mine,2,50,-0.06,-0.16
you,1,53,-0.08,-0.17
hello,1,52,-0.07,-0.17
flash,light,60,-0.07,-0.15
responsible,1,58,-0.13,-0.03
change_mind_,1,60,-0.08,-0.18
more,1,51,-0.1,-0.17
take,3,50,-0.07,-0.17
come,3,54,-0.05,-0.17
go,2,55,-0.06,-0.12
God,1,57,-0.07,-0.16
write,3,63,-0.18,-0.05
hurt,3,55,-0.06,-0.17
juice,1,61,-0.13,-0.11
head,3,55,-0.06,-0.17
change_mind_,2,61,-0.08,-0.15
sorry,3,57,-0.07,-0.18
joke,3,74,-0.06,-0.17
head,1,53,-0.08,-0.17
will,1,51,-0.08,-0.17
buy,3,53,-0.14,-0.05
who,2,57,-0.08,-0.17
tray,2,64,0.04,0.02
no,1,50,-0.06,-0.16
money,1,54,-0.15,-0.1
when,3,73,-0.08,-0.18
pen,1,54,-0.06,-0.16
all,2,59,-0.05,-0.17
different,3,53,0.01,-0.06
innocent,2,60,-0.08,-0.16
will,3,52,-0.08,-0.16
computer_PC_,1,65,-0.06,-0.03
hurry,1,66,-0.08,-0.12
make,3,73,-0.06,-0.11
his_hers,1,50,-0.08,-0.17
you,3,52,-0.07,-0.17
hurt,1,80,-0.08,-0.18
where,3,54,-0.24,-0.12
what,2,53,-0.08,-0.17
alive,2,55,-0.08,-0.17
innocent,3,56,-0.07,-0.17
girl,3,52,-0.07,-0.18
all,1,60,-0.08,-0.16
read,2,66,-0.08,-0.16
right,2,48,-0.06,-0.17
shop,1,57,-0.17,-0.11
paper,1,56,-0.13,-0.09
lose,3,53,-0.08,-0.06
wrong,3,49,-0.08,-0.17
voluntary,2,54,-0.08,-0.17
what,1,50,-0.08,-0.16
wrong,2,51,-0.06,-0.16
money,3,60,-0.14,-0.11
research,1,59,-0.07,-0.09
wild,3,63,-0.08,-0.17
polite,1,65,-0.06,-0.17
hot,3,52,-0.09,-0.18
know,1,63,-0.06,-0.16
when,1,60,-0.08,-0.17
sad,2,56,-0.08,-0.16
you,2,66,-0.06,-0.16
surprise,1,54,-0.07,-0.17
not,my,53,-0.18,-0.07
voluntary,3,56,-0.06,-0.17
alive,1,56,-0.07,-0.16
hurry,2,67,-0.07,-0.0
building,2,95,-0.05,-0.1
exit,1,53,-0.12,-0.05
I,1,54,-0.06,-0.17
mine,1,73,-0.08,-0.16
science,3,64,-0.07,-0.18
question,1,55,-0.07,-0.06
girl,1,55,-0.08,-0.16
soon,3,58,-0.07,-0.18
eat,1,55,-0.09,-0.18
cost,1,56,-0.12,-0.12
innocent,1,57,-0.06,-0.17
eat,2,51,-0.07,-0.16
sad,1,56,-0.08,-0.16
us,1,56,-0.08,-0.17
no,3,52,-0.07,-0.18
what,3,68,-0.07,-0.17
his_hers,3,53,-0.07,-0.17
I,3,50,-0.06,-0.16
voluntary,1,57,-0.08,-0.16
where,1,57,-0.26,-0.12
lose,1,53,-0.12,-0.07
cold,1,60,-0.09,-0.09
hurt,2,54,-0.07,-0.16
paper,3,55,-0.08,-0.05
happy,2,58,0.02,0.01
thank,1,49,-0.06,-0.16
hurry,3,51,-0.07,-0.1
go,3,54,-0.07,-0.08
please,3,52,-0.08,-0.17
more,2,55,-0.06,-0.18
maybe,1,51,-0.07,-0.17
sad,3,53,-0.06,-0.16
boy,3,57,-0.06,-0.17
share,1,63,-0.12,-0.11
who,3,58,-0.07,-0.16
crazy,2,64,-0.07,-0.17
man,2,51,-0.07,-0.17
know,2,52,-0.07,-0.18
drink,3,53,-0.08,-0.16
soon,1,57,-0.09,-0.16
different,2,69,-0.02,-0.09
draw,3,59,-0.13,-0.12
shop,3,66,-0.18,-0.1
exit,2,55,-0.1,-0.07
hear,3,55,-0.06,-0.17
building,1,68,-0.07,0.02
not,my,52,-0.12,-0.08
make,2,57,-0.07,-0.11
take,1,50,-0.08,-0.16
deaf,2,78,-0.06,-0.16
glove,1,52,-0.11,-0.11
spend,3,62,-0.13,-0.07
forget,2,59,-0.05,-0.16
question,2,69,-0.05,-0.13
wild,1,62,-0.07,-0.16
same,1,54,-0.06,-0.1
hot,1,56,-0.06,-0.16
which,2,57,-0.05,-0.17
juice,2,62,-0.1,-0.12
Norway,1,56,-0.05,-0.17
please,1,57,-0.05,-0.15
hot,2,54,-0.06,-0.17
stubborn,2,59,-0.05,-0.09
crazy,3,61,-0.06,-0.16
Norway,3,61,-0.05,-0.17
danger,2,55,-0.05,-0.17
share,2,63,-0.07,-0.12
crazy,1,64,-0.05,-0.17
spend,2,57,-0.1,-0.11
glove,2,55,-0.09,-0.11
stubborn,3,53,-0.05,-0.03
read,3,63,-0.12,-0.07
spend,1,54,-0.07,-0.09
write,1,87,-0.11,-0.11
more,3,51,-0.06,-0.17
research,3,61,-0.03,-0.06
buy,1,53,-0.13,-0.1
tray,1,62,-0.05,-0.11
is_true_,1,60,-0.08,-0.11
answer,3,54,-0.06,-0.05
later,1,57,-0.03,-0.11
mine,3,68,-0.1,-0.16
paper,2,54,-0.06,-0.08
ready,3,54,-0.17,-0.13
computer_PC_,3,59,-0.06,-0.06
how,1,55,-0.12,-0.11
surprise,3,51,-0.06,-0.16
drink,2,52,-0.07,-0.16
responsible,2,76,-0.11,0.02
question,3,53,0.0,-0.04
later,3,59,-0.05,-0.14
think,2,52,-0.07,-0.18
head,2,55,-0.06,-0.16
make,1,56,-0.05,-0.12
how,3,54,-0.07,-0.18
polite,2,53,-0.06,-0.17
temper,2,59,-0.11,0.04
I,2,51,-0.04,-0.16
surprise,2,50,-0.06,-0.16
boy,1,56,-0.05,-0.18
no,2,60,-0.05,-0.18
his_hers,2,58,-0.06,-0.15
change_mind_,3,58,-0.06,-0.17
flash,light,56,-0.02,-0.12
which,3,55,-0.05,-0.16
yes,3,55,-0.06,-0.18
alive,3,57,-0.07,-0.17
all,3,56,-0.05,-0.17
answer,2,56,-0.05,-0.04
who,1,65,-0.05,-0.18
deaf,3,55,-0.06,-0.17
hear,1,59,-0.04,-0.16
eat,3,61,-0.05,-0.16
will,2,55,-0.05,-0.16
research,2,63,-0.06,-0.07
draw,1,76,-0.09,-0.16
think,3,54,-0.06,-0.17
us,3,54,-0.06,-0.16
right,3,49,-0.05,-0.17
same,3,56,-0.03,-0.13
ready,2,55,-0.17,-0.11
draw,2,57,-0.14,-0.11
love,2,61,-0.02,-0.01
pen,2,56,-0.05,-0.17
pen,3,52,-0.06,-0.16
danger,1,57,-0.07,-0.17
lose,2,55,-0.08,-0.06
cost,2,53,-0.17,-0.1
come,2,55,-0.06,-0.17
not,my,60,-0.11,-0.11
man,1,53,-0.06,-0.15
sorry,2,55,-0.05,-0.16
give,3,56,-0.11,-0.09
happy,1,60,-0.11,-0.11
drink,1,54,-0.07,-0.17
wrong,1,57,-0.06,-0.16
right,1,52,-0.07,-0.17
buy,2,56,-0.08,-0.16
polite,3,53,-0.04,-0.18
exit,3,57,-0.06,-0.18
flash,light,60,-0.02,-0.1
maybe,2,47,-0.05,-0.18
computer_PC_,2,62,-0.04,-0.06
Norway,2,56,-0.06,-0.17
how,2,53,-0.06,-0.12
think,1,53,-0.06,-0.16
why,1,58,-0.06,-0.17
God,2,54,-0.06,-0.11
God,3,55,-0.06,-0.11
yes,1,60,-0.07,-0.17
temper,1,55,-0.11,-0.06
give,2,80,-0.12,-0.11
stubborn,1,50,-0.07,0.02
tray,3,64,-0.03,-0.07
love,3,54,0.04,0.03
when,2,82,-0.07,-0.18
temper,3,54,-0.11,0.03
science,1,62,-0.06,-0.17
building,3,75,0.0,-0.02
sorry,1,59,-0.05,-0.16
is_true_,2,52,-0.05,-0.11
zero,2,52,-0.05,-0.17
answer,1,61,-0.04,-0.1
different,1,51,0.05,-0.11
us,2,53,-0.06,-0.16
man,3,55,-0.06,-0.16
name,1,54,-0.06,-0.17
danger,3,58,-0.07,-0.18
soon,2,56,-0.06,-0.17
write,2,69,-0.13,-0.11
share,3,65,-0.05,-0.12
cost,3,51,-0.11,-0.1
ready,1,56,-0.14,-0.13
shop,2,67,-0.11,-0.11
thank,2,53,-0.04,-0.17
same,2,69,-0.01,-0.09
wait_notyet_,2,58,-0.1,-0.08
hello,2,49,-0.1,-0.16
know,3,70,-0.04,-0.17
responsible,3,68,-0.14,-0.1
go,1,55,-0.09,-0.02
yes,2,78,-0.04,-0.18
wait_notyet_,3,56,-0.05,-0.04
juice,3,60,-0.11,-0.1
deaf,1,63,-0.05,-0.18
which,1,58,-0.05,-0.17
take,2,52,-0.05,-0.17
is_true_,3,55,-0.08,-0.13
girl,2,59,-0.07,-0.18
love,1,56,-0.05,-0.03
name,2,52,-0.05,-0.18
give,1,58,-0.12,-0.11
forget,3,56,-0.06,-0.17
thank,3,59,-0.06,-0.16
forget,1,54,-0.05,-0.17
joke,2,56,-0.06,-0.17
read,1,65,-0.16,-0.11
boy,2,56,-0.06,-0.16
zero,3,51,-0.05,-0.16
wild,2,60,-0.05,-0.16
cold,2,63,-0.11,-0.02
science,2,65,-0.05,-0.15
wait_notyet_,1,54,-0.11,-0.05
come,1,55,-0.07,-0.18
hello,3,51,-0.07,-0.18
why,2,56,-0.05,-0.17
why,3,57,-0.07,-0.17
zero,1,51,-0.05,-0.16
hear,2,63,-0.06,-0.17
happy,3,55,-0.1,-0.11
please,2,55,-0.08,-0.17
glove,3,56,-0.09,-0.09
where,2,54,-0.19,-0.1
joke,1,55,-0.05,-0.16
maybe,3,53,-0.06,-0.16
later,2,83,-0.06,-0.11
cold,3,55,-0.08,-0.01
name,3,54,-0.06,-0.18
money,2,58,-0.04,-0.16
mine,2,50,-0.07,-0.16
you,1,50,-0.05,-0.18
hello,1,50,-0.05,-0.18
flash,light,56,-0.05,-0.13
responsible,1,58,-0.08,0.08
change_mind_,1,57,-0.05,-0.17
more,1,52,-0.06,-0.18
take,3,53,-0.06,-0.17
come,3,53,-0.07,-0.16
go,2,51,0.0,0.0
God,1,60,-0.06,-0.14
write,3,61,-0.15,-0.11
hurt,3,63,-0.09,-0.16
juice,1,65,-0.11,-0.11
head,3,53,-0.06,-0.17
change_mind_,2,59,-0.06,-0.16
sorry,3,55,-0.06,-0.17
joke,3,57,-0.06,-0.17
head,1,55,-0.07,-0.18
will,1,56,-0.05,-0.18
buy,3,56,-0.12,-0.13
who,2,55,-0.07,-0.17
tray,2,80,-0.01,-0.02
no,1,52,-0.05,-0.17
money,1,79,-0.16,-0.11
when,3,60,-0.04,-0.16
pen,1,54,-0.05,-0.16
all,2,61,-0.06,-0.17
different,3,69,0.0,-0.1
innocent,2,55,-0.08,-0.17
will,3,57,-0.06,-0.16
computer_PC_,1,58,-0.06,-0.06
hurry,1,74,-0.1,-0.11
make,3,60,-0.08,-0.11
his_hers,1,55,-0.04,-0.17
you,3,55,-0.05,-0.17
hurt,1,58,-0.05,-0.16
where,3,54,-0.22,-0.12
what,2,49,-0.05,-0.17
alive,2,54,-0.06,-0.15
innocent,3,54,-0.06,-0.16
girl,3,56,-0.05,-0.18
all,1,85,-0.05,-0.17
read,2,88,-0.12,-0.1
right,2,51,-0.07,-0.16
shop,1,63,-0.06,-0.16
paper,1,72,-0.1,-0.1
lose,3,53,-0.09,-0.11
wrong,3,54,-0.06,-0.16
voluntary,2,58,-0.07,-0.16
what,1,55,-0.07,-0.16
wrong,2,55,-0.06,-0.17
money,3,55,-0.12,-0.12
research,1,71,-0.06,-0.05
wild,3,56,-0.05,-0.16
polite,1,53,-0.05,-0.15
hot,3,52,-0.07,-0.17
know,1,53,-0.04,-0.16
when,1,57,-0.05,-0.17
sad,2,52,-0.05,-0.17
you,2,52,-0.05,-0.16
surprise,1,52,-0.05,-0.17
not,my,54,-0.17,-0.04
voluntary,3,57,-0.06,-0.16
alive,1,56,-0.07,-0.15
hurry,2,54,-0.06,-0.11
building,2,70,-0.02,-0.04
exit,1,55,-0.11,-0.07
I,1,55,-0.05,-0.16
mine,1,70,-0.05,-0.16
science,3,81,-0.05,-0.17
question,1,53,-0.03,-0.05
girl,1,57,-0.05,-0.17
soon,3,55,-0.05,-0.17
eat,1,55,-0.04,-0.17
cost,1,51,-0.13,-0.1
innocent,1,55,-0.06,-0.16
eat,2,57,-0.06,-0.17
sad,1,52,-0.07,-0.16
us,1,57,-0.07,-0.16
no,3,51,-0.05,-0.16
what,3,53,-0.05,-0.18
his_hers,3,58,-0.07,-0.16
I,3,52,-0.05,-0.17
voluntary,1,57,-0.06,-0.18
where,1,55,-0.15,-0.13
lose,1,54,-0.1,-0.09
cold,1,52,-0.12,0.0
hurt,2,59,-0.07,-0.16
paper,3,62,-0.08,-0.14
happy,2,55,-0.1,-0.11
thank,1,65,-0.05,-0.15
hurry,3,58,-0.06,-0.13
go,3,54,-0.04,-0.02
please,3,54,-0.06,-0.17
more,2,50,-0.04,-0.16
maybe,1,55,-0.05,-0.16
sad,3,49,-0.05,-0.17
boy,3,81,-0.05,-0.16
share,1,69,-0.07,-0.11
who,3,56,-0.05,-0.17
crazy,2,60,-0.06,-0.18
man,2,72,-0.06,-0.17
know,2,53,-0.04,-0.17
drink,3,55,-0.06,-0.16
soon,1,58,-0.07,-0.15
different,2,54,-0.04,-0.14
draw,3,61,-0.11,-0.08
shop,3,57,-0.12,-0.11
exit,2,74,-0.05,-0.01
hear,3,61,-0.05,-0.17
building,1,62,-0.06,-0.04
not,my,66,-0.17,-0.08
make,2,63,-0.05,-0.11
take,1,54,-0.05,-0.17
deaf,2,55,-0.05,-0.17
glove,1,55,-0.12,-0.07
spend,3,73,-0.06,-0.12
